data,направление,специальность,green,yellow,red,black,year,month
5/1/2017,взрослые,Стоматолог,3315,364,952,578,2017,5
5/1/2017,взрослые,Онколог,34371,9689,19671,550,2017,5
5/1/2017,взрослые,Оториноларинголог,163439,9640,6059,469,2017,5
5/1/2017,взрослые,Офтальмолог,210835,7794,4745,373,2017,5
5/1/2017,взрослые,Гинеколог,410354,20854,12542,270,2017,5
5/1/2017,взрослые,Ревматолог,16680,3361,3404,247,2017,5
5/1/2017,взрослые,Уролог,137931,2160,1079,209,2017,5
5/1/2017,взрослые,Гематолог,3258,560,694,194,2017,5
5/1/2017,взрослые,Хирург,256205,7402,3688,52,2017,5
5/1/2017,взрослые,Невролог,191616,28989,33094,49,2017,5
5/1/2017,взрослые,Эндокринолог,155314,19086,23999,49,2017,5
5/1/2017,взрослые,Кардиолог,98968,12041,14421,33,2017,5
5/1/2017,взрослые,Инфекционист,35959,2496,1916,31,2017,5
5/1/2017,взрослые,Нефролог,3556,315,554,28,2017,5
5/1/2017,взрослые,Иммунолог,12006,2263,2710,20,2017,5
5/1/2017,взрослые,Гастроэнтеролог,21385,3437,3905,19,2017,5
5/1/2017,взрослые,Пульмонолог,13833,3010,3875,16,2017,5
5/1/2017,взрослые,Колопроктолог,10778,2358,2098,13,2017,5
5/1/2017,взрослые,Психиатр,6,0,0,12,2017,5
5/1/2017,детские,Стоматолог,12463,1978,8901,600,2017,5
5/1/2017,детские,Гинеколог,35216,2369,1985,124,2017,5
5/1/2017,детские,Педиатр,1009697,144693,33825,113,2017,5
5/1/2017,детские,Оториноларинголог,152351,14074,9599,112,2017,5
5/1/2017,детские,Офтальмолог,156972,14010,8267,72,2017,5
5/1/2017,детские,Хирург,125081,3164,1905,71,2017,5
5/1/2017,детские,Эндокринолог,30842,4386,6489,33,2017,5
5/1/2017,детские,Невролог,120886,20758,46274,22,2017,5
5/1/2017,детские,Иммунолог,26188,4298,7953,18,2017,5
5/1/2017,детские,Кардиолог,28609,4418,7354,16,2017,5
5/1/2017,детские,Нефролог,12593,1454,1851,10,2017,5
5/1/2017,детские,Гастроэнтеролог,21533,2398,3116,9,2017,5
5/1/2017,детские,Уролог-андролог,4227,600,1600,8,2017,5
5/1/2017,детские,Ревматолог,1057,175,377,5,2017,5
5/1/2017,детские,Гематолог,1910,265,353,4,2017,5
5/1/2017,детские,Онколог,785,110,60,3,2017,5
5/1/2017,детские,Психиатр,318,6,0,1,2017,5
5/1/2017,детские,Инфекционист,523,2,6,0,2017,5
5/1/2017,детские,Пульмонолог,527,145,212,0,2017,5
6/1/2017,взрослые,Терапевт,1013828,121942,32549,1085,2017,6
6/1/2017,взрослые,Стоматолог,3144,54,217,468,2017,6
6/1/2017,взрослые,Онколог,36645,7111,13558,369,2017,6
6/1/2017,взрослые,Гинеколог,372167,19271,8707,289,2017,6
6/1/2017,взрослые,Оториноларинголог,156311,3296,3353,103,2017,6
6/1/2017,взрослые,Ревматолог,18179,1745,2970,72,2017,6
6/1/2017,взрослые,Гематолог,2488,310,723,57,2017,6
6/1/2017,взрослые,Невролог,191402,19314,24730,35,2017,6
6/1/2017,взрослые,Гастроэнтеролог,20233,2887,3422,34,2017,6
6/1/2017,взрослые,Хирург,247834,3677,1402,30,2017,6
6/1/2017,взрослые,Инфекционист,36621,1725,1762,22,2017,6
6/1/2017,взрослые,Пульмонолог,13921,1500,2142,20,2017,6
6/1/2017,взрослые,Нефролог,3432,143,501,19,2017,6
6/1/2017,взрослые,Кардиолог,91660,8242,11619,14,2017,6
6/1/2017,взрослые,Колопроктолог,11046,1206,1305,14,2017,6
6/1/2017,взрослые,Эндокринолог,147179,12598,14806,14,2017,6
6/1/2017,взрослые,Уролог,125572,950,219,11,2017,6
6/1/2017,взрослые,Иммунолог,10146,991,1266,6,2017,6
6/1/2017,взрослые,Офтальмолог,195657,2622,1103,4,2017,6
6/1/2017,взрослые,Психиатр,24,2,0,4,2017,6
6/1/2017,детские,Стоматолог,9331,1504,5837,634,2017,6
6/1/2017,детские,Педиатр,814871,91390,23722,314,2017,6
6/1/2017,детские,Оториноларинголог,138272,5403,1717,122,2017,6
6/1/2017,детские,Офтальмолог,137275,3283,1857,106,2017,6
6/1/2017,детские,Хирург,110011,1926,1130,83,2017,6
6/1/2017,детские,Гинеколог,31410,1073,1962,70,2017,6
6/1/2017,детские,Невролог,121186,16421,27675,37,2017,6
6/1/2017,детские,Кардиолог,22925,2335,3664,19,2017,6
6/1/2017,детские,Уролог-андролог,4304,473,760,15,2017,6
6/1/2017,детские,Эндокринолог,28958,2932,3670,11,2017,6
6/1/2017,детские,Иммунолог,17479,1347,2705,9,2017,6
6/1/2017,детские,Гастроэнтеролог,15140,1208,1678,8,2017,6
6/1/2017,детские,Нефролог,9800,959,738,8,2017,6
6/1/2017,детские,Гематолог,1852,183,106,4,2017,6
6/1/2017,детские,Онколог,606,83,25,4,2017,6
6/1/2017,детские,Ревматолог,882,49,129,3,2017,6
6/1/2017,детские,Пульмонолог,362,52,70,2,2017,6
6/1/2017,детские,Инфекционист,281,9,0,0,2017,6
6/1/2017,детские,Психиатр,428,0,0,0,2017,6
7/1/2017,взрослые,Терапевт,1000678,120468,25733,4002,2017,7
7/1/2017,взрослые,Стоматолог,2497,28,113,604,2017,7
7/1/2017,взрослые,Оториноларинголог,148334,4299,2553,458,2017,7
7/1/2017,взрослые,Гинеколог,351781,16485,9803,359,2017,7
7/1/2017,взрослые,Гематолог,2557,265,449,55,2017,7
7/1/2017,взрослые,Онколог,38195,7063,9681,34,2017,7
7/1/2017,взрослые,Ревматолог,13932,1438,1563,33,2017,7
7/1/2017,взрослые,Невролог,177284,19226,17953,32,2017,7
7/1/2017,взрослые,Хирург,241367,4051,2580,28,2017,7
7/1/2017,взрослые,Кардиолог,85648,7165,8610,20,2017,7
7/1/2017,взрослые,Эндокринолог,128771,8991,11267,19,2017,7
7/1/2017,взрослые,Гастроэнтеролог,17897,2083,2321,14,2017,7
7/1/2017,взрослые,Офтальмолог,193252,2574,1114,13,2017,7
7/1/2017,взрослые,Уролог,121075,1695,651,13,2017,7
7/1/2017,взрослые,Инфекционист,29790,1674,1923,11,2017,7
7/1/2017,взрослые,Иммунолог,7188,558,684,7,2017,7
7/1/2017,взрослые,Пульмонолог,12016,1230,1268,7,2017,7
7/1/2017,взрослые,Колопроктолог,9471,708,773,5,2017,7
7/1/2017,взрослые,Нефролог,3437,347,593,4,2017,7
7/1/2017,взрослые,Психиатр,28,0,0,1,2017,7
7/1/2017,детские,Педиатр,674611,82761,15820,450,2017,7
7/1/2017,детские,Стоматолог,9122,840,4148,180,2017,7
7/1/2017,детские,Оториноларинголог,105997,2437,1969,98,2017,7
7/1/2017,детские,Гинеколог,25022,541,1397,83,2017,7
7/1/2017,детские,Хирург,89911,2034,2153,79,2017,7
7/1/2017,детские,Офтальмолог,110702,2533,2319,49,2017,7
7/1/2017,детские,Невролог,100721,11888,20105,15,2017,7
7/1/2017,детские,Кардиолог,16781,1485,1757,8,2017,7
7/1/2017,детские,Эндокринолог,17852,1392,1821,7,2017,7
7/1/2017,детские,Уролог-андролог,3178,346,1450,5,2017,7
7/1/2017,детские,Иммунолог,12417,882,873,4,2017,7
7/1/2017,детские,Нефролог,5741,412,629,4,2017,7
7/1/2017,детские,Гастроэнтеролог,11122,763,1204,3,2017,7
7/1/2017,детские,Ревматолог,390,37,72,2,2017,7
7/1/2017,детские,Гематолог,892,47,77,1,2017,7
7/1/2017,детские,Инфекционист,108,0,2,1,2017,7
7/1/2017,детские,Онколог,279,10,20,1,2017,7
7/1/2017,детские,Психиатр,486,10,0,0,2017,7
7/1/2017,детские,Пульмонолог,54,6,4,0,2017,7
8/1/2017,взрослые,Терапевт,1023396,131004,39809,4704,2017,8
8/1/2017,взрослые,Гинеколог,342762,21080,14782,425,2017,8
8/1/2017,взрослые,Стоматолог,1883,61,36,208,2017,8
8/1/2017,взрослые,Ревматолог,16241,1919,2276,33,2017,8
8/1/2017,взрослые,Офтальмолог,208220,2076,178,25,2017,8
8/1/2017,взрослые,Невролог,196220,18763,19131,21,2017,8
8/1/2017,взрослые,Инфекционист,31798,1610,1557,20,2017,8
8/1/2017,взрослые,Хирург,253455,3747,1314,18,2017,8
8/1/2017,взрослые,Онколог,40099,6012,11946,17,2017,8
8/1/2017,взрослые,Оториноларинголог,145762,7831,5012,15,2017,8
8/1/2017,взрослые,Эндокринолог,145159,9569,14037,15,2017,8
8/1/2017,взрослые,Уролог,127255,869,274,12,2017,8
8/1/2017,взрослые,Кардиолог,90931,7122,8656,8,2017,8
8/1/2017,взрослые,Пульмонолог,12462,1198,1318,8,2017,8
8/1/2017,взрослые,Гастроэнтеролог,20222,1906,2245,7,2017,8
8/1/2017,взрослые,Иммунолог,8494,804,1408,5,2017,8
8/1/2017,взрослые,Гематолог,3414,388,745,4,2017,8
8/1/2017,взрослые,Колопроктолог,10992,1097,968,2,2017,8
8/1/2017,взрослые,Нефролог,3565,270,445,2,2017,8
8/1/2017,взрослые,Психиатр,28,0,0,0,2017,8
8/1/2017,детские,Педиатр,1009449,168746,66642,895,2017,8
8/1/2017,детские,Стоматолог,12468,964,5964,758,2017,8
8/1/2017,детские,Гинеколог,32706,1326,1454,118,2017,8
8/1/2017,детские,Оториноларинголог,127137,4295,3007,116,2017,8
8/1/2017,детские,Хирург,116654,3598,2063,106,2017,8
8/1/2017,детские,Офтальмолог,151322,12874,10487,52,2017,8
8/1/2017,детские,Невролог,135422,18634,23009,20,2017,8
8/1/2017,детские,Иммунолог,17455,1286,1818,8,2017,8
8/1/2017,детские,Кардиолог,24943,2955,4264,7,2017,8
8/1/2017,детские,Эндокринолог,26084,1859,2810,5,2017,8
8/1/2017,детские,Нефролог,10229,755,1358,4,2017,8
8/1/2017,детские,Инфекционист,336,64,27,2,2017,8
8/1/2017,детские,Гастроэнтеролог,14879,1449,1817,1,2017,8
8/1/2017,детские,Ревматолог,1183,95,174,1,2017,8
8/1/2017,детские,Уролог-андролог,4396,550,723,1,2017,8
8/1/2017,детские,Гематолог,1453,202,346,0,2017,8
8/1/2017,детские,Онколог,590,65,96,0,2017,8
8/1/2017,детские,Психиатр,389,13,0,0,2017,8
8/1/2017,детские,Пульмонолог,452,43,57,0,2017,8
9/1/2017,взрослые,Терапевт,960951,254089,101470,3210,2017,9
9/1/2017,взрослые,Гинеколог,248622,13362,11516,557,2017,9
9/1/2017,взрослые,Стоматолог,1468,59,33,336,2017,9
9/1/2017,взрослые,Ревматолог,18743,2344,3260,169,2017,9
9/1/2017,взрослые,Невролог,192421,25072,27996,73,2017,9
9/1/2017,взрослые,Нефролог,3554,238,354,70,2017,9
9/1/2017,взрослые,Инфекционист,25723,2590,2750,59,2017,9
9/1/2017,взрослые,Гематолог,2011,556,1342,38,2017,9
9/1/2017,взрослые,Хирург,268636,3183,447,36,2017,9
9/1/2017,взрослые,Онколог,38806,7856,12526,33,2017,9
9/1/2017,взрослые,Эндокринолог,149977,12061,19244,20,2017,9
9/1/2017,взрослые,Кардиолог,96830,9962,13257,17,2017,9
9/1/2017,взрослые,Офтальмолог,222970,4711,1021,15,2017,9
9/1/2017,взрослые,Оториноларинголог,161546,9254,3654,11,2017,9
9/1/2017,взрослые,Гастроэнтеролог,19406,3530,3645,8,2017,9
9/1/2017,взрослые,Иммунолог,9906,629,1034,7,2017,9
9/1/2017,взрослые,Пульмонолог,13705,1979,2546,7,2017,9
9/1/2017,взрослые,Колопроктолог,10595,714,1474,5,2017,9
9/1/2017,взрослые,Уролог,141341,477,123,5,2017,9
9/1/2017,взрослые,Колопроктолог,4,0,0,0,2017,9
9/1/2017,взрослые,Психиатр,2,0,0,0,2017,9
9/1/2017,детские,Педиатр,1096113,280573,90658,763,2017,9
9/1/2017,детские,Стоматолог,14352,1621,3178,498,2017,9
9/1/2017,детские,Хирург,117936,2253,558,144,2017,9
9/1/2017,детские,Офтальмолог,160371,8939,7743,116,2017,9
9/1/2017,детские,Иммунолог,28438,2282,3636,29,2017,9
9/1/2017,детские,Невролог,145923,20426,31031,19,2017,9
9/1/2017,детские,Кардиолог,35202,4717,7416,18,2017,9
9/1/2017,детские,Оториноларинголог,174163,5274,1286,14,2017,9
9/1/2017,детские,Гинеколог,33328,835,605,11,2017,9
9/1/2017,детские,Эндокринолог,27849,2957,4580,10,2017,9
9/1/2017,детские,Нефролог,13310,1008,1553,7,2017,9
9/1/2017,детские,Гастроэнтеролог,21845,1960,2718,6,2017,9
9/1/2017,детские,Гематолог,1953,243,260,2,2017,9
9/1/2017,детские,Уролог-андролог,4334,409,528,2,2017,9
9/1/2017,детские,Инфекционист,333,103,56,1,2017,9
9/1/2017,детские,Пульмонолог,794,58,86,1,2017,9
9/1/2017,детские,Ревматолог,1101,186,352,1,2017,9
9/1/2017,детские,Онколог,707,22,39,0,2017,9
9/1/2017,детские,Психиатр,385,22,4,0,2017,9
10/1/2017,взрослые,Терапевт,1115793,279408,109153,5102,2017,10
10/1/2017,взрослые,Стоматолог,1198,8,104,502,2017,10
10/1/2017,взрослые,Гинеколог,7934,765,1374,292,2017,10
10/1/2017,взрослые,Нефролог,4223,370,454,157,2017,10
10/1/2017,взрослые,Невролог,208315,31732,40701,139,2017,10
10/1/2017,взрослые,Инфекционист,27918,2579,2825,86,2017,10
10/1/2017,взрослые,Гастроэнтеролог,22120,3707,5598,64,2017,10
10/1/2017,взрослые,Эндокринолог,174293,18522,24807,60,2017,10
10/1/2017,взрослые,Ревматолог,22604,3002,3972,55,2017,10
10/1/2017,взрослые,Кардиолог,116431,13671,18073,44,2017,10
10/1/2017,взрослые,Онколог,47400,9300,15863,37,2017,10
10/1/2017,взрослые,Гематолог,2197,251,1535,31,2017,10
10/1/2017,взрослые,Иммунолог,11003,1825,2019,22,2017,10
10/1/2017,взрослые,Офтальмолог,241431,8786,7010,19,2017,10
10/1/2017,взрослые,Уролог,163153,1962,652,19,2017,10
10/1/2017,взрослые,Колопроктолог,12225,2341,1924,17,2017,10
10/1/2017,взрослые,Пульмонолог,17543,2714,3314,14,2017,10
10/1/2017,взрослые,Оториноларинголог,181431,15307,7221,13,2017,10
10/1/2017,взрослые,Хирург,295327,5784,1742,11,2017,10
10/1/2017,детские,Педиатр,1206947,229148,45827,561,2017,10
10/1/2017,детские,Невролог,144646,20776,36161,173,2017,10
10/1/2017,детские,Оториноларинголог,187539,12180,4152,91,2017,10
10/1/2017,детские,Стоматолог,14351,1414,4001,89,2017,10
10/1/2017,детские,Хирург,119349,960,447,89,2017,10
10/1/2017,детские,Офтальмолог,171597,5969,4493,41,2017,10
10/1/2017,детские,Нефролог,12464,1211,1258,31,2017,10
10/1/2017,детские,Гинеколог,35603,505,530,28,2017,10
10/1/2017,детские,Иммунолог,30733,4784,5711,24,2017,10
10/1/2017,детские,Эндокринолог,32802,3984,5282,24,2017,10
10/1/2017,детские,Кардиолог,32778,4786,9319,23,2017,10
10/1/2017,детские,Гастроэнтеролог,26331,3328,4671,18,2017,10
10/1/2017,детские,Уролог-андролог,4825,357,484,5,2017,10
10/1/2017,детские,Пульмонолог,783,98,190,4,2017,10
10/1/2017,детские,Гематолог,2483,207,175,2,2017,10
10/1/2017,детские,Инфекционист,420,122,45,2,2017,10
10/1/2017,детские,Ревматолог,1204,279,559,2,2017,10
10/1/2017,детские,Онколог,466,30,37,1,2017,10
10/1/2017,детские,Психиатр,475,6,4,0,2017,10
11/1/2017,взрослые,Терапевт,1140388,255642,131629,4783,2017,11
11/1/2017,взрослые,Стоматолог,1257,2,90,372,2017,11
11/1/2017,взрослые,Гинеколог,2844,383,2116,262,2017,11
11/1/2017,взрослые,Невролог,191872,35235,52120,135,2017,11
11/1/2017,взрослые,Кардиолог,110763,14698,25683,117,2017,11
11/1/2017,взрослые,Эндокринолог,171549,20860,32746,70,2017,11
11/1/2017,взрослые,Ревматолог,22229,3161,5106,57,2017,11
11/1/2017,взрослые,Онколог,42101,11274,22745,41,2017,11
11/1/2017,взрослые,Гастроэнтеролог,21095,2242,8539,31,2017,11
11/1/2017,взрослые,Инфекционист,34741,2379,2181,31,2017,11
11/1/2017,взрослые,Иммунолог,10769,1347,2150,20,2017,11
11/1/2017,взрослые,Офтальмолог,241695,17155,11401,20,2017,11
11/1/2017,взрослые,Пульмонолог,15227,3369,4932,16,2017,11
11/1/2017,взрослые,Колопроктолог,11701,2855,3523,14,2017,11
11/1/2017,взрослые,Хирург,290906,14219,3320,12,2017,11
11/1/2017,взрослые,Гематолог,2430,320,1643,11,2017,11
11/1/2017,взрослые,Нефролог,3373,473,935,10,2017,11
11/1/2017,взрослые,Уролог,169225,5946,1241,9,2017,11
11/1/2017,взрослые,Оториноларинголог,183461,17034,10479,5,2017,11
11/1/2017,взрослые,Психиатр,4,0,0,0,2017,11
11/1/2017,детские,Педиатр,1176874,202859,44484,221,2017,11
11/1/2017,детские,Невролог,144323,21854,35935,143,2017,11
11/1/2017,детские,Гинеколог,35259,1617,860,54,2017,11
11/1/2017,детские,Офтальмолог,168904,5274,1832,45,2017,11
11/1/2017,детские,Кардиолог,30658,5612,15459,30,2017,11
11/1/2017,детские,Гастроэнтеролог,29119,3917,6032,23,2017,11
11/1/2017,детские,Иммунолог,31841,5719,8962,22,2017,11
11/1/2017,детские,Оториноларинголог,177360,22214,5842,20,2017,11
11/1/2017,детские,Эндокринолог,34278,3765,5968,17,2017,11
11/1/2017,детские,Стоматолог,14812,1456,4138,13,2017,11
11/1/2017,детские,Гематолог,1883,351,557,7,2017,11
11/1/2017,детские,Нефролог,14273,1544,2109,7,2017,11
11/1/2017,детские,Ревматолог,1092,282,636,6,2017,11
11/1/2017,детские,Уролог-андролог,5389,266,429,5,2017,11
11/1/2017,детские,Хирург,117495,1194,640,5,2017,11
11/1/2017,детские,Инфекционист,573,41,21,1,2017,11
11/1/2017,детские,Пульмонолог,499,94,243,1,2017,11
11/1/2017,детские,Онколог,694,95,128,0,2017,11
11/1/2017,детские,Психиатр,424,12,10,0,2017,11
12/1/2017,взрослые,Терапевт,1126828,147125,64994,3884,2017,12
12/1/2017,взрослые,Кардиолог,96926,10896,21775,303,2017,12
12/1/2017,взрослые,Невролог,167677,25715,41006,292,2017,12
12/1/2017,взрослые,Гинеколог,2977,136,1025,235,2017,12
12/1/2017,взрослые,Стоматолог,1135,9,96,176,2017,12
12/1/2017,взрослые,Эндокринолог,143374,17468,31215,169,2017,12
12/1/2017,взрослые,Онколог,34976,8659,18250,81,2017,12
12/1/2017,взрослые,Офтальмолог,208576,6701,6946,76,2017,12
12/1/2017,взрослые,Гастроэнтеролог,18510,3288,6609,68,2017,12
12/1/2017,взрослые,Ревматолог,18127,3238,4551,68,2017,12
12/1/2017,взрослые,Оториноларинголог,169324,11833,9331,52,2017,12
12/1/2017,взрослые,Инфекционист,30758,1396,2411,37,2017,12
12/1/2017,взрослые,Колопроктолог,9440,1885,3259,32,2017,12
12/1/2017,взрослые,Пульмонолог,13718,2365,4181,32,2017,12
12/1/2017,взрослые,Иммунолог,8726,1603,2712,24,2017,12
12/1/2017,взрослые,Гематолог,2209,485,1321,20,2017,12
12/1/2017,взрослые,Нефролог,3543,191,744,11,2017,12
12/1/2017,взрослые,Хирург,253380,5703,5231,10,2017,12
12/1/2017,взрослые,Уролог,144487,4524,4519,7,2017,12
12/1/2017,взрослые,Психиатр,4,0,0,0,2017,12
12/1/2017,детские,Педиатр,1062197,200947,42238,236,2017,12
12/1/2017,детские,Невролог,130500,14413,25164,112,2017,12
12/1/2017,детские,Кардиолог,27949,3872,8208,41,2017,12
12/1/2017,детские,Гастроэнтеролог,24809,2688,5271,32,2017,12
12/1/2017,детские,Стоматолог,11566,646,2105,32,2017,12
12/1/2017,детские,Эндокринолог,29238,2456,5411,23,2017,12
12/1/2017,детские,Уролог-андролог,4548,197,337,20,2017,12
12/1/2017,детские,Иммунолог,26449,4106,6754,19,2017,12
12/1/2017,детские,Нефролог,12831,778,1772,12,2017,12
12/1/2017,детские,Оториноларинголог,155067,14650,10864,9,2017,12
12/1/2017,детские,Гинеколог,31691,1045,731,7,2017,12
12/1/2017,детские,Офтальмолог,146976,926,2174,7,2017,12
12/1/2017,детские,Гематолог,1988,332,413,4,2017,12
12/1/2017,детские,Ревматолог,983,173,470,4,2017,12
12/1/2017,детские,Хирург,100072,590,1128,3,2017,12
12/1/2017,детские,Инфекционист,487,18,32,1,2017,12
12/1/2017,детские,Онколог,532,57,95,1,2017,12
12/1/2017,детские,Пульмонолог,608,118,254,1,2017,12
12/1/2017,детские,Психиатр,168,82,14,0,2017,12